row_0,CE,ED,ITC,SPR,UV,Technique_Count
26908,1,1,1,1,1,5
26915,1,1,1,1,1,5
26916,1,1,1,1,1,5
26932,1,1,1,1,1,5
26977,1,1,1,1,1,5
26986,1,1,1,1,1,5
27082,1,1,1,1,1,5
27093,1,1,1,1,1,5
27110,1,1,1,1,1,5
27150,1,1,1,1,1,5
27226,1,1,1,1,1,5
27259,1,1,1,1,1,5
27266,1,1,1,1,1,5
27292,1,1,1,1,1,5
27338,1,1,1,1,1,5
27364,1,1,1,1,1,5
27369,1,1,1,1,1,5
27382,1,1,1,1,1,5
27418,1,1,1,1,1,5
27432,1,1,1,1,1,5
27470,1,1,1,1,1,5
27480,1,1,1,1,1,5
27504,1,1,1,1,1,5
27518,1,1,1,1,1,5
27539,1,1,1,1,1,5
27563,1,1,1,1,1,5
27568,1,1,1,1,1,5
27570,1,1,1,1,1,5
27573,1,1,1,1,1,5
27584,1,1,1,1,1,5
27585,1,1,1,1,1,5
27594,1,1,1,1,1,5
27616,1,1,1,1,1,5
27618,1,1,1,1,1,5
27638,1,1,1,1,1,5
27656,1,1,1,1,1,5
27666,1,1,1,1,1,5
27690,1,1,1,1,1,5
27698,1,1,1,1,1,5
27732,1,1,1,1,1,5
27744,1,1,1,1,1,5
27750,1,1,1,1,1,5
27808,1,1,1,1,1,5
27810,1,1,1,1,1,5
27856,1,1,1,1,1,5
27881,1,1,1,1,1,5
27897,1,1,1,1,1,5
27899,1,1,1,1,1,5
27902,1,1,1,1,1,5
27924,1,1,1,1,1,5
27941,1,1,1,1,1,5
27958,1,1,1,1,1,5
27999,1,1,1,1,1,5
28001,1,1,1,1,1,5
28017,1,1,1,1,1,5
28044,1,1,1,1,1,5
28073,1,1,1,1,1,5
28077,1,1,1,1,1,5
28087,1,1,1,1,1,5
28088,1,1,1,1,1,5
28098,1,1,1,1,1,5
28102,1,1,1,1,1,5
28121,1,1,1,1,1,5
28145,1,1,1,1,1,5
28148,1,1,1,1,1,5
28177,1,1,1,1,1,5
28196,1,1,1,1,1,5
28201,1,1,1,1,1,5
28230,1,1,1,1,1,5
28240,1,1,1,1,1,5
28260,1,1,1,1,1,5
28266,1,1,1,1,1,5
28300,1,1,1,1,1,5
28304,1,1,1,1,1,5
28436,1,1,1,1,1,5
28445,1,1,1,1,1,5
28460,1,1,1,1,1,5
28494,1,1,1,1,1,5
28499,1,1,1,1,1,5
28527,1,1,1,1,1,5
28544,1,1,1,1,1,5
28545,1,1,1,1,1,5
28568,1,1,1,1,1,5
28593,1,1,1,1,1,5
28619,1,1,1,1,1,5
28621,1,1,1,1,1,5
28640,1,1,1,1,1,5
28659,1,1,1,1,1,5
28685,1,1,1,1,1,5
28694,1,1,1,1,1,5
28716,1,1,1,1,1,5
28747,1,1,1,1,1,5
28748,1,1,1,1,1,5
28757,1,1,1,1,1,5
28790,1,1,1,1,1,5
28794,1,1,1,1,1,5
28802,1,1,1,1,1,5
28815,1,1,1,1,1,5
28817,1,1,1,1,1,5
28819,1,1,1,1,1,5
28863,1,1,1,1,1,5
28864,1,1,1,1,1,5
28869,1,1,1,1,1,5
28874,1,1,1,1,1,5
28892,1,1,1,1,1,5
28938,1,1,1,1,1,5
28963,1,1,1,1,1,5
28966,1,1,1,1,1,5
28971,1,1,1,1,1,5
29005,1,1,1,1,1,5
29007,1,1,1,1,1,5
29016,1,1,1,1,1,5
29021,1,1,1,1,1,5
29073,1,1,1,1,1,5
29075,1,1,1,1,1,5
29101,1,1,1,1,1,5
29108,1,1,1,1,1,5
29149,1,1,1,1,1,5
29191,1,1,1,1,1,5
29214,1,1,1,1,1,5
29221,1,1,1,1,1,5
29222,1,1,1,1,1,5
29234,1,1,1,1,1,5
29236,1,1,1,1,1,5
29237,1,1,1,1,1,5
29239,1,1,1,1,1,5
29256,1,1,1,1,1,5
29309,1,1,1,1,1,5
29315,1,1,1,1,1,5
29320,1,1,1,1,1,5
29362,1,1,1,1,1,5
29377,1,1,1,1,1,5
29547,1,1,1,1,1,5
29689,1,1,1,1,1,5
29785,1,1,1,1,1,5
29864,1,1,1,1,1,5
29917,1,1,1,1,1,5
29987,1,1,1,1,1,5
30000,1,1,1,1,1,5
30049,1,1,1,1,1,5
30052,1,1,1,1,1,5
30069,1,1,1,1,1,5
30085,1,1,1,1,1,5
30087,1,1,1,1,1,5
30089,1,1,1,1,1,5
30157,1,1,1,1,1,5
30178,1,1,1,1,1,5
30185,1,1,1,1,1,5
30187,1,1,1,1,1,5
30210,1,1,1,1,1,5
30212,1,1,1,1,1,5
30222,1,1,1,1,1,5
30225,1,1,1,1,1,5
30253,1,1,1,1,1,5
30282,1,1,1,1,1,5
30285,1,1,1,1,1,5
30347,1,1,1,1,1,5
30351,1,1,1,1,1,5
30355,1,1,1,1,1,5
30395,1,1,1,1,1,5
30396,1,1,1,1,1,5
30413,1,1,1,1,1,5
30488,1,1,1,1,1,5
30527,1,1,1,1,1,5
30560,1,1,1,1,1,5
30563,1,1,1,1,1,5
30618,1,1,1,1,1,5
30622,1,1,1,1,1,5
30629,1,1,1,1,1,5
30660,1,1,1,1,1,5
30742,1,1,1,1,1,5
30745,1,1,1,1,1,5
30746,1,1,1,1,1,5
30751,1,1,1,1,1,5
30763,1,1,1,1,1,5
30768,1,1,1,1,1,5
30769,1,1,1,1,1,5
30772,1,1,1,1,1,5
30776,1,1,1,1,1,5
30778,1,1,1,1,1,5
30786,1,1,1,1,1,5
30853,1,1,1,1,1,5
30879,1,1,1,1,1,5
30953,1,1,1,1,1,5
30956,1,1,1,1,1,5
31188,1,1,1,1,1,5
31206,1,1,1,1,1,5
31225,1,1,1,1,1,5
31298,1,1,1,1,1,5
31355,1,1,1,1,1,5
31522,1,1,1,1,1,5
31576,1,1,1,1,1,5
31604,1,1,1,1,1,5
31624,1,1,1,1,1,5
31781,1,1,1,1,1,5
31941,1,1,1,1,1,5
31943,1,1,1,1,1,5
31991,1,1,1,1,1,5
31996,1,1,1,1,1,5
32026,1,1,1,1,1,5
32035,1,1,1,1,1,5
32145,1,1,1,1,1,5
32149,1,1,1,1,1,5
32161,1,1,1,1,1,5
32234,1,1,1,1,1,5
32362,1,1,1,1,1,5
32441,1,1,1,1,1,5
32460,1,1,1,1,1,5
32497,1,1,1,1,1,5
32515,1,1,1,1,1,5
32535,1,1,1,1,1,5
32568,1,1,1,1,1,5
32588,1,1,1,1,1,5
32735,1,1,1,1,1,5
32789,1,1,1,1,1,5
32875,1,1,1,1,1,5
32878,1,1,1,1,1,5
32879,1,1,1,1,1,5
32952,1,1,1,1,1,5
32955,1,1,1,1,1,5
32957,1,1,1,1,1,5
32988,1,1,1,1,1,5
33080,1,1,1,1,1,5
33093,1,1,1,1,1,5
33118,1,1,1,1,1,5
33191,1,1,1,1,1,5
33216,1,1,1,1,1,5
